2019-12-05 19:45:51,860: 's'
2019-12-05 19:45:51,959: 'a'
2019-12-05 19:45:52,194: 'l'
2019-12-05 19:45:52,407: 'u'
2019-12-05 19:45:52,661: 't'
2019-12-05 19:45:53,128: Key.space
2019-12-05 19:45:53,308: 's'
2019-12-05 19:45:53,422: 'a'
2019-12-05 19:45:53,829: 'l'
2019-12-05 19:45:54,143: 'u'
2019-12-05 19:45:54,447: 't'
2019-12-05 19:45:54,984: Key.space
2019-12-05 19:45:55,143: 's'
2019-12-05 19:45:55,239: 'a'
2019-12-05 19:45:55,416: 'l'
2019-12-05 19:45:55,681: 'u'
2019-12-05 19:45:55,905: 't'
2019-12-05 19:46:10,037: 'o'
2019-12-05 19:46:10,733: Key.enter
2019-12-05 19:49:06,035: 'o'
2019-12-05 19:49:06,959: Key.enter
2019-12-05 20:13:58,544: 'a'
2019-12-05 20:13:58,689: 'u'
2019-12-05 20:13:59,047: Key.space
2019-12-05 20:13:59,137: 'r'
2019-12-05 20:13:59,211: 'e'
2019-12-05 20:13:59,342: 'v'
2019-12-05 20:13:59,646: 'o'
2019-12-05 20:13:59,798: 'i'
2019-12-05 20:13:59,893: 'r'
2019-12-05 20:14:03,012: 'o'
2019-12-05 20:14:03,731: Key.enter
